87,SXOIN1712,SXOZ7 Index,SXOIN1712,TRUE
,SXOIN1803,SXOH8 Index,SXOIN1803,TRUE
88,US00287Y1091,ABBV US Equity,US00287Y1091,TRUE
89,US0378331005,AAPL US Equity,US0378331005,TRUE
90,US0382221051,AMAT US Equity,US0382221051,TRUE
91,US07177M1036,BXLT US Equity,US07177M1036,TRUE
92,US0718131099,BAX US Equity,US0718131099,TRUE
93,US0970231058,BA US Equity,US0970231058,TRUE
94,US12673P1057,CA US Equity,US12673P1057,TRUE
95,US1491231015,CAT US Equity,US1491231015,TRUE
96,US1667641005,CVX US Equity,US1667641005,TRUE
97,US17275R1023,CSCO US Equity,US17275R1023,TRUE
98,US1897541041,TPR US Equity,US1897541041,TRUE
99,US8760301072,TPR US Equity,US8760301072,#N/A
100,US20825C1045,COP US Equity,US20825C1045,TRUE
101,US2193501051,GLW US Equity,US2193501051,TRUE
102,US2371941053,DRI US Equity,US2371941053,TRUE
103,US2441991054,DE US Equity,US2441991054,TRUE
104,US2605431038,DOW US Equity,US2605431038,TRUE
105,US26078J1007,DWDP US Equity,US26078J1007,TRUE
106,US2910111044,EMR US Equity,US2910111044,TRUE
107,US30231G1022,XOM US Equity,US30231G1022,TRUE
108,US3696041033,GE US Equity,US3696041033,TRUE
109,US3703341046,GIS US Equity,US3703341046,TRUE
110,US37045V1008,GM US Equity,US37045V1008,TRUE
111,US3755581036,GILD US Equity,US3755581036,TRUE
112,US4385161066,HON US Equity,US4385161066,TRUE
113,US4581401001,INTC US Equity,US4581401001,TRUE
114,US4781601046,JNJ US Equity,US4781601046,TRUE
115,US4824801009,KLAC US Equity,US4824801009,TRUE
116,US5128071082,LRCX US Equity,US5128071082,TRUE
117,US5324571083,LLY US Equity,US5324571083,TRUE
118,US5398301094,LMT US Equity,US5398301094,TRUE
119,US58933Y1055,MRK US Equity,US58933Y1055,TRUE
120,US5949181045,MSFT US Equity,US5949181045,TRUE
121,US6668071029,NOC US Equity,US6668071029,TRUE
122,US6745991058,OXY US Equity,US6745991058,TRUE
123,US6806652052,OLN US Equity,US6806652052,TRUE
124,US6937181088,PCAR US Equity,US6937181088,TRUE
125,US7170811035,PFE US Equity,US7170811035,TRUE
126,US7475251036,QCOM US Equity,US7475251036,TRUE
127,US7551115071,RTN US Equity,US7551115071,TRUE
128,US85771P1021,STO US Equity,US85771P1021,TRUE
129,US912796LP28,B 0 08/10/17 Govt,US912796LP28,TRUE
130,US912796LY35,B 0 10/19/17 Govt,US912796LY35,TRUE
131,US9130171096,UTX US Equity,US9130171096,TRUE
132,VGG607541015,KORS US Equity,VGG607541015,TRUE
133,US00206R1023,T US Equity,US00206R1023,TRUE
134,US60871R2094,TAP US Equity,US60871R2094,TRUE
135,US7427181091,PG US Equity,US7427181091,TRUE
136,US9841216081,XRX US Equity,US9841216081,TRUE
137,FR0000121329,HO FP Equity,FR0000121329,TRUE
138,US4878361082,K US Equity,US4878361082,TRUE
139,US1729674242,C US Equity,US1729674242,TRUE
140,US38141G1040,GS US Equity,US38141G1040,TRUE
141,US46625H1005,JPM US Equity,US46625H1005,TRUE
142,US6174464486,MS US Equity,US6174464486,TRUE
143,SXOIN1806,SXOM8 Index,SXOIN1906,TRUE
144,SE0007100599,SHBA SS Equity,,TRUE
145,US1101221083,BMY US Equity,,TRUE
146,Z IN1806, Z M8 Index,,TRUE
147,DK0060534915,NOVOB DC Equity,,TRUE
148,SMIN1806,SMM8 Index,,TRUE
149,US78464A7303,XOP US Equity,,TRUE
