"","Portfolio Name","Security Ticker","Price","Date","Shares"
"1","DHARMA EQ",".TFCFEES Equity",0,2015-06-17,-1
"2","DHARMA EQ",".TFCFEES Equity",3572.49,2015-06-19,-1
"3","DHARMA EQ",".TFCFEES Equity",8951.56,2015-06-22,-1
"4","DHARMA EQ",".TFCFEES Equity",14382.48,2015-06-25,-1
"5","DHARMA EQ",".TFCFEES Equity",16194.35,2015-06-26,-1
"6","DHARMA EQ",".TFCFEES Equity",39629.91,2015-06-29,-1
"7","DHARMA EQ",".TFCFEES Equity",21992.25,2015-06-30,-1
"8","DHARMA EQ",".TFCFEES Equity",23685.11,2015-07-01,-1
"9","DHARMA EQ",".TFCFEES Equity",25375.95,2015-07-02,-1
"10","DHARMA EQ",".TFCFEES Equity",27062.79,2015-07-03,-1
"11","DHARMA EQ",".TFCFEES Equity",32106.95,2015-07-06,-1
"12","DHARMA EQ",".TFCFEES Equity",33776.06,2015-07-07,-1
"13","DHARMA EQ",".TFCFEES Equity",37266.59,2015-07-08,-1
"14","DHARMA EQ",".TFCFEES Equity",38931.96,2015-07-09,-1
"15","DHARMA EQ",".TFCFEES Equity",40611.3,2015-07-10,-1
"16","DHARMA EQ",".TFCFEES Equity",45698.05,2015-07-13,-1
"17","DHARMA EQ",".TFCFEES Equity",49119.47,2015-07-15,-1
"18","DHARMA EQ",".TFCFEES Equity",50891.77,2015-07-16,-1
"19","DHARMA EQ",".TFCFEES Equity",52712.47,2015-07-17,-1
"20","DHARMA EQ",".TFCFEES Equity",57861.23,2015-07-20,-1
"21","DHARMA EQ",".TFCFEES Equity",59592.9,2015-07-21,-1
"22","DHARMA EQ",".TFCFEES Equity",62896.91,2015-07-22,-1
"23","DHARMA EQ",".TFCFEES Equity",64575.67,2015-07-23,-1
"24","DHARMA EQ",".TFCFEES Equity",66241.95,2015-07-24,-1
"25","DHARMA EQ",".TFCFEES Equity",71231.12,2015-07-27,-1
"26","DHARMA EQ",".TFCFEES Equity",72897.62,2015-07-28,-1
"27","DHARMA EQ",".TFCFEES Equity",74597.29,2015-07-29,-1
"28","DHARMA EQ",".TFCFEES Equity",76316.32,2015-07-30,-1
"29","DHARMA EQ",".TFCFEES Equity",80319.88,2015-07-31,-1
"30","DHARMA EQ",".TFCFEES Equity",85462.46,2015-08-03,-1
"31","DHARMA EQ",".TFCFEES Equity",87162.08,2015-08-04,-1
"32","DHARMA EQ",".TFCFEES Equity",88920.72,2015-08-05,-1
"33","DHARMA EQ",".TFCFEES Equity",90613.89,2015-08-06,-1
"34","DHARMA EQ",".TFCFEES Equity",89829.43,2015-08-07,-1
"35","DHARMA EQ",".TFCFEES Equity",94958.71,2015-08-10,-1
"36","DHARMA EQ",".TFCFEES Equity",96579.62,2015-08-11,-1
"37","DHARMA EQ",".TFCFEES Equity",98175.28,2015-08-12,-1
"38","DHARMA EQ",".TFCFEES Equity",99827.71,2015-08-13,-1
"39","DHARMA EQ",".TFCFEES Equity",101479.65,2015-08-14,-1
"40","DHARMA EQ",".TFCFEES Equity",106514.18,2015-08-17,-1
"41","DHARMA EQ",".TFCFEES Equity",108142.15,2015-08-18,-1
"42","DHARMA EQ",".TFCFEES Equity",109630.22,2015-08-19,-1
"43","DHARMA EQ",".TFCFEES Equity",111097.13,2015-08-20,-1
"44","DHARMA EQ",".TFCFEES Equity",113137.43,2015-08-21,-1
"45","DHARMA EQ",".TFCFEES Equity",117674.11,2015-08-24,-1
"46","DHARMA EQ",".TFCFEES Equity",119101.07,2015-08-25,-1
"47","DHARMA EQ",".TFCFEES Equity",120536.99,2015-08-26,-1
"48","DHARMA EQ",".TFCFEES Equity",122120.76,2015-08-27,-1
"49","DHARMA EQ",".TFCFEES Equity",123638.98,2015-08-28,-1
"50","DHARMA EQ",".TFCFEES Equity",128226.92,2015-08-31,-1
"51","DHARMA EQ",".TFCFEES Equity",129672.46,2015-09-01,-1
"52","DHARMA EQ",".TFCFEES Equity",131203.84,2015-09-02,-1
"53","DHARMA EQ",".TFCFEES Equity",132928.87,2015-09-03,-1
"54","DHARMA EQ",".TFCFEES Equity",134372.56,2015-09-04,-1
"55","DHARMA EQ",".TFCFEES Equity",138892.19,2015-09-07,-1
"56","DHARMA EQ",".TFCFEES Equity",140473.7,2015-09-08,-1
"57","DHARMA EQ",".TFCFEES Equity",142007.77,2015-09-09,-1
"58","DHARMA EQ",".TFCFEES Equity",143512.3,2015-09-10,-1
"59","DHARMA EQ",".TFCFEES Equity",144999.68,2015-09-11,-1
"60","DHARMA EQ",".TFCFEES Equity",151087.84,2015-09-15,-1
"61","DHARMA EQ",".TFCFEES Equity",152667.37,2015-09-16,-1
"62","DHARMA EQ",".TFCFEES Equity",154760.6,2015-09-17,-1
"63","DHARMA EQ",".TFCFEES Equity",156777.71,2015-09-18,-1
"64","DHARMA EQ",".TFCFEES Equity",161334.12,2015-09-21,-1
"65","DHARMA EQ",".TFCFEES Equity",162722.92,2015-09-22,-1
"66","DHARMA EQ",".TFCFEES Equity",164160.74,2015-09-23,-1
"67","DHARMA EQ",".TFCFEES Equity",165515.81,2015-09-24,-1
"68","DHARMA EQ",".TFCFEES Equity",167009.66,2015-09-25,-1
"69","DHARMA EQ",".TFCFEES Equity",171333.2,2015-09-28,-1
"70","DHARMA EQ",".TFCFEES Equity",172748.75,2015-09-29,-1
"71","DHARMA EQ",".TFCFEES Equity",174304.13,2015-09-30,-1
"72","DHARMA EQ",".TFCFEES Equity",175796.04,2015-10-01,-1
"73","DHARMA EQ",".TFCFEES Equity",177266.53,2015-10-02,-1
