"","PortfolioName","SecurityId","Quantity","Price","Date","Cost"
"99","DEQ","SMIN LN Equity",10000,0,2015-06-19,NA
"100","DEQ","RB/ LN Equity",4530,0,2015-06-19,NA
"101","DEQ","ESV US Equity",8000,0,2015-06-19,NA
"102","DEQ","STX US Equity",21100,0,2015-06-19,NA
"103","DEQ","XSMI SW Equity",11000,0,2015-06-19,NA
"104","DEQ","XSDR GY Equity",5200,0,2015-06-19,NA
"105","DEQ","PHIA NA Equity",12000,0,2015-06-19,NA
"106","DEQ","AIR FP Equity",7000,0,2015-06-19,NA
"107","DEQ","LYB US Equity",4300,0,2015-06-19,NA
"108","DEQ","AD NA Equity",34520,0,2015-06-19,NA
"109","DEQ","ATCOA SS Equity",14000,0,2015-06-19,NA
"110","DEQ","ABBV US Equity",3300,0,2015-06-19,NA
"111","DEQ","AAPL US Equity",2402,0,2015-06-19,NA
"112","DEQ","AMAT US Equity",20500,0,2015-06-19,NA
"113","DEQ","BAX US Equity",11650,0,2015-06-19,NA
"114","DEQ","BA US Equity",7100,0,2015-06-19,NA
"115","DEQ","CA US Equity",33700,0,2015-06-19,NA
"116","DEQ","CAT US Equity",11700,0,2015-06-19,NA
"117","DEQ","CVX US Equity",6039,0,2015-06-19,NA
"118","DEQ","CSCO US Equity",16000,0,2015-06-19,NA
"119","DEQ","TPR US Equity",10800,0,2015-06-19,NA
"120","DEQ","COP US Equity",4882,0,2015-06-19,NA
"121","DEQ","GLW US Equity",49750,0,2015-06-19,NA
"122","DEQ","DE US Equity",8500,0,2015-06-19,NA
"123","DEQ","DOW US Equity",7700,0,2015-06-19,NA
"124","DEQ","EMR US Equity",3000,0,2015-06-19,NA
"125","DEQ","INTC US Equity",31100,0,2015-06-19,NA
"126","DEQ","JNJ US Equity",10050,0,2015-06-19,NA
"127","DEQ","KLAC US Equity",7900,0,2015-06-19,NA
"128","DEQ","LMT US Equity",3800,0,2015-06-19,NA
"129","DEQ","MRK US Equity",13750,0,2015-06-19,NA
"130","DEQ","MSFT US Equity",22050,0,2015-06-19,NA
"131","DEQ","NOC US Equity",1300,0,2015-06-19,NA
"132","DEQ","OXY US Equity",3399,0,2015-06-19,NA
"133","DEQ","PFE US Equity",10000,0,2015-06-19,NA
"134","DEQ","QCOM US Equity",15150,0,2015-06-19,NA
"135","DEQ","RTN US Equity",3400,0,2015-06-19,NA
"136","DEQ","STO US Equity",43299,0,2015-06-19,NA
"137","DEQ",".TFCFEES FP Equity",-1,3572.49,2015-06-19,NA
"138","DEQ","CAD Curncy",0,0,2015-06-19,NA
"139","DEQ","CHF Curncy",0,0,2015-06-19,NA
"140","DEQ","DKK Curncy",0,0,2015-06-19,NA
"141","DEQ","EUR Curncy",321796.56,0,2015-06-19,NA
"142","DEQ","GBP Curncy",-2727.32000000001,0,2015-06-19,NA
"143","DEQ","SEK Curncy",0,0,2015-06-19,NA
"144","DEQ","USD Curncy",1674181.88,0,2015-06-19,NA
"145","DEQ",".TAX_CHF LX Equity",-1,0,2015-06-19,NA
"146","DEQ",".TAX_EUR LX Equity",-1,0,2015-06-19,NA
"147","DEQ",".TAX_USD LX Equity",-1,0,2015-06-19,NA
"148","DEQ","SOLB BB Equity",1850,0,2015-06-22,NA
"149","DEQ","POT CN Equity",15450,0,2015-06-22,NA
"150","DEQ","SYNN SW Equity",1400,0,2015-06-22,NA
"151","DEQ","ABBN SW Equity",21300,0,2015-06-22,NA
"152","DEQ","NESN SW Equity",8800,0,2015-06-22,NA
"153","DEQ","BMW GY Equity",7400,0,2015-06-22,NA
"154","DEQ","SIE GY Equity",6100,0,2015-06-22,NA
"155","DEQ","VOW3 GY Equity",2000,0,2015-06-22,NA
"156","DEQ","SX6PEX GY Equity",14800,0,2015-06-22,NA
"157","DEQ","BAS GY Equity",10900,0,2015-06-22,NA
"158","DEQ","BAYN GY Equity",2800,0,2015-06-22,NA
"159","DEQ","CS FP Equity",20400,0,2015-06-22,NA
"160","DEQ","MC FP Equity",2425,0,2015-06-22,NA
"161","DEQ","ML FP Equity",9300,0,2015-06-22,NA
"162","DEQ","CO FP Equity",3400,0,2015-06-22,NA
"163","DEQ","SCR FP Equity",22000,0,2015-06-22,NA
"164","DEQ","ADN LN Equity",150000,0,2015-06-22,NA
"165","DEQ","BLT LN Equity",46054,0,2015-06-22,NA
"166","DEQ","SKY LN Equity",14550,0,2015-06-22,NA
"167","DEQ","BA/ LN Equity",64000,0,2015-06-22,NA
"168","DEQ","MRW LN Equity",1e+05,0,2015-06-22,NA
"169","DEQ","BP/ LN Equity",87832,0,2015-06-22,NA
"170","DEQ","BT/A LN Equity",69500,0,2015-06-22,NA
"171","DEQ","KGF LN Equity",55000,0,2015-06-22,NA
"172","DEQ","SBRY LN Equity",105000,0,2015-06-22,NA
"173","DEQ","SMIN LN Equity",10000,0,2015-06-22,NA
"174","DEQ","RB/ LN Equity",4530,0,2015-06-22,NA
"175","DEQ","ESV US Equity",8000,0,2015-06-22,NA
"176","DEQ","STX US Equity",21100,0,2015-06-22,NA
"177","DEQ","XSMI SW Equity",11000,0,2015-06-22,NA
"178","DEQ","XSDR GY Equity",5200,0,2015-06-22,NA
"179","DEQ","PHIA NA Equity",12000,0,2015-06-22,NA
"180","DEQ","AIR FP Equity",7000,0,2015-06-22,NA
"181","DEQ","LYB US Equity",4300,0,2015-06-22,NA
"182","DEQ","AD NA Equity",34520,0,2015-06-22,NA
"183","DEQ","ATCOA SS Equity",14000,0,2015-06-22,NA
"184","DEQ","ABBV US Equity",3300,0,2015-06-22,NA
"185","DEQ","AAPL US Equity",2402,0,2015-06-22,NA
"186","DEQ","AMAT US Equity",20500,0,2015-06-22,NA
"187","DEQ","BAX US Equity",11650,0,2015-06-22,NA
"188","DEQ","BA US Equity",7100,0,2015-06-22,NA
"189","DEQ","CA US Equity",33700,0,2015-06-22,NA
"190","DEQ","CAT US Equity",11700,0,2015-06-22,NA
"191","DEQ","CVX US Equity",6039,0,2015-06-22,NA
"192","DEQ","CSCO US Equity",16000,0,2015-06-22,NA
"193","DEQ","TPR US Equity",10800,0,2015-06-22,NA
"194","DEQ","COP US Equity",4882,0,2015-06-22,NA
"195","DEQ","GLW US Equity",49750,0,2015-06-22,NA
"196","DEQ","DE US Equity",8500,0,2015-06-22,NA
"197","DEQ","DOW US Equity",7700,0,2015-06-22,NA
"198","DEQ","EMR US Equity",3000,0,2015-06-22,NA
"199","DEQ","INTC US Equity",31100,0,2015-06-22,NA
"200","DEQ","JNJ US Equity",10050,0,2015-06-22,NA
"201","DEQ","KLAC US Equity",7900,0,2015-06-22,NA
"202","DEQ","LMT US Equity",3800,0,2015-06-22,NA
"203","DEQ","MRK US Equity",13750,0,2015-06-22,NA
