"","PortfolioName","SecurityId","Quantity","Price","Date"
"97","DHARMA EQ","SBRY LN Equity",105000,0,2015-06-19
"98","DHARMA EQ","SMIN LN Equity",10000,0,2015-06-19
"99","DHARMA EQ","RB/ LN Equity",4530,0,2015-06-19
"100","DHARMA EQ","ESV US Equity",8000,0,2015-06-19
"101","DHARMA EQ","STX US Equity",21100,0,2015-06-19
"102","DHARMA EQ","XSMI SW Equity",11000,0,2015-06-19
"103","DHARMA EQ","XSDR GY Equity",5200,0,2015-06-19
"104","DHARMA EQ","PHIA NA Equity",12000,0,2015-06-19
"105","DHARMA EQ","AIR FP Equity",7000,0,2015-06-19
"106","DHARMA EQ","LYB US Equity",4300,0,2015-06-19
"107","DHARMA EQ","AD NA Equity",34520,0,2015-06-19
"108","DHARMA EQ","ATCOA SS Equity",14000,0,2015-06-19
"109","DHARMA EQ","ABBV US Equity",3300,0,2015-06-19
"110","DHARMA EQ","AAPL US Equity",2402,0,2015-06-19
"111","DHARMA EQ","AMAT US Equity",20500,0,2015-06-19
"112","DHARMA EQ","BAX US Equity",11650,0,2015-06-19
"113","DHARMA EQ","BA US Equity",7100,0,2015-06-19
"114","DHARMA EQ","CA US Equity",33700,0,2015-06-19
"115","DHARMA EQ","CAT US Equity",11700,0,2015-06-19
"116","DHARMA EQ","CVX US Equity",6039,0,2015-06-19
"117","DHARMA EQ","CSCO US Equity",16000,0,2015-06-19
"118","DHARMA EQ","TPR US Equity",10800,0,2015-06-19
"119","DHARMA EQ","COP US Equity",4882,0,2015-06-19
"120","DHARMA EQ","GLW US Equity",49750,0,2015-06-19
"121","DHARMA EQ","DE US Equity",8500,0,2015-06-19
"122","DHARMA EQ","DOW US Equity",7700,0,2015-06-19
"123","DHARMA EQ","EMR US Equity",3000,0,2015-06-19
"124","DHARMA EQ","INTC US Equity",31100,0,2015-06-19
"125","DHARMA EQ","JNJ US Equity",10050,0,2015-06-19
"126","DHARMA EQ","KLAC US Equity",7900,0,2015-06-19
"127","DHARMA EQ","LMT US Equity",3800,0,2015-06-19
"128","DHARMA EQ","MRK US Equity",13750,0,2015-06-19
"129","DHARMA EQ","MSFT US Equity",22050,0,2015-06-19
"130","DHARMA EQ","NOC US Equity",1300,0,2015-06-19
"131","DHARMA EQ","OXY US Equity",3399,0,2015-06-19
"132","DHARMA EQ","PFE US Equity",10000,0,2015-06-19
"133","DHARMA EQ","QCOM US Equity",15150,0,2015-06-19
"134","DHARMA EQ","RTN US Equity",3400,0,2015-06-19
"135","DHARMA EQ","STO US Equity",43299,0,2015-06-19
"136","DHARMA EQ",".TFCFEES FP Equity",-1,3572.49,2015-06-19
"137","DHARMA EQ","CAD Curncy",0,0,2015-06-19
"138","DHARMA EQ","CHF Curncy",0,0,2015-06-19
"139","DHARMA EQ","EUR Curncy",321796.56,0,2015-06-19
"140","DHARMA EQ","GBP Curncy",-2727.32000000001,0,2015-06-19
"141","DHARMA EQ","SEK Curncy",0,0,2015-06-19
"142","DHARMA EQ","USD Curncy",1674181.88,0,2015-06-19
"143","DHARMA EQ",".TAX_CHF LX Equity",-1,0,2015-06-19
"144","DHARMA EQ",".TAX_EUR LX Equity",-1,0,2015-06-19
"145","DHARMA EQ",".TAX_USD LX Equity",-1,0,2015-06-19
"146","DHARMA EQ","SOLB BB Equity",1850,0,2015-06-22
"147","DHARMA EQ","POT CN Equity",15450,0,2015-06-22
"148","DHARMA EQ","SYNN SW Equity",1400,0,2015-06-22
"149","DHARMA EQ","ABBN SW Equity",21300,0,2015-06-22
"150","DHARMA EQ","NESN SW Equity",8800,0,2015-06-22
"151","DHARMA EQ","BMW GY Equity",7400,0,2015-06-22
"152","DHARMA EQ","SIE GY Equity",6100,0,2015-06-22
"153","DHARMA EQ","VOW3 GY Equity",2000,0,2015-06-22
"154","DHARMA EQ","SX6PEX GY Equity",14800,0,2015-06-22
"155","DHARMA EQ","BAS GY Equity",10900,0,2015-06-22
"156","DHARMA EQ","BAYN GY Equity",2800,0,2015-06-22
"157","DHARMA EQ","CS FP Equity",20400,0,2015-06-22
"158","DHARMA EQ","MC FP Equity",2425,0,2015-06-22
"159","DHARMA EQ","ML FP Equity",9300,0,2015-06-22
"160","DHARMA EQ","CO FP Equity",3400,0,2015-06-22
"161","DHARMA EQ","SCR FP Equity",22000,0,2015-06-22
"162","DHARMA EQ","ADN LN Equity",150000,0,2015-06-22
"163","DHARMA EQ","BLT LN Equity",46054,0,2015-06-22
"164","DHARMA EQ","SKY LN Equity",14550,0,2015-06-22
"165","DHARMA EQ","BA/ LN Equity",64000,0,2015-06-22
